Release,Title,Budget,Opening Weekend,Domestic Box Office,Worldwide Box Office
"Nov 6, 2015",Spectre,"$300,000,000","$70,403,148","$200,074,175","$879,620,923"
"Nov 8, 2012",Skyfall,"$200,000,000","$88,364,714","$304,360,277","$1,110,526,981"
"Nov 14, 2008",Quantum of Solace,"$230,000,000","$67,528,882","$169,368,427","$591,692,078"
"Nov 17, 2006",Casino Royale,"$102,000,000","$40,833,156","$167,365,000","$594,420,283"
"Nov 22, 2002",Die Another Day,"$142,000,000","$47,072,040","$160,942,139","$431,942,139"
"Nov 19, 1999",The World is Not Enough,"$135,000,000","$35,519,007","$126,930,660","$361,730,660"
"Dec 19, 1997",Tomorrow Never Dies,"$110,000,000","$25,143,007","$125,304,276","$339,504,276"
"Nov 17, 1995",Goldeneye,"$60,000,000","$26,205,007","$106,429,941","$356,429,941"
"Jul 14, 1989",Licence to Kill,"$42,000,000","$8,774,776","$34,667,015","$156,167,015"
"Jul 31, 1987",The Living Daylights,"$40,000,000","$11,051,284","$51,185,000","$191,200,000"
"May 24, 1985",A View to a Kill,"$30,000,000","$13,294,435","$50,327,960","$152,627,960"
"Oct 7, 1983",Never Say Never Again,"$36,000,000","$10,958,157","$55,500,000","$160,000,000"
"Jun 10, 1983",Octopussy,"$27,500,000","$8,902,564","$67,900,000","$187,500,000"
"Jun 26, 1981",For Your Eyes Only,"$28,000,000","$6,834,967","$54,800,000","$195,300,000"
"Jun 29, 1979",Moonraker,"$31,000,000","$7,108,344","$70,300,000","$210,300,000"
"Jul 13, 1977",The Spy Who Loved Me,"$14,000,000","$1,347,927","$46,800,000","$185,400,000"
"Dec 20, 1974",The Man with the Golden Gun,"$7,000,000",,"$21,000,000","$97,600,000"
"Jun 27, 1973",Live and Let Die,"$7,000,000",,"$35,400,000","$161,800,000"
"Dec 17, 1971",Diamonds Are Forever,"$7,200,000",,"$43,800,000","$116,000,000"
"Dec 18, 1969",On Her Majesty's Secret Ser…,"$8,000,000",,"$22,800,000","$82,000,000"
"Jun 13, 1967",You Only Live Twice,"$9,500,000",,"$43,100,000","$111,600,000"
"Dec 29, 1965",Thunderball,"$9,000,000",,"$63,600,000","$141,200,000"
"Dec 22, 1964",Goldfinger,"$3,000,000",,"$51,100,000","$124,900,000"
"Apr 8, 1964",From Russia With Love,"$2,000,000",,"$24,800,000","$78,900,000"
"May 8, 1963",Dr. No,"$1,000,000",,"$16,067,035","$59,567,035"