Film,Actor,Kills,Relationships,Alcohol_Units,Alcohol,Nationality,Rating
Dr. No,Sean Connery,4,3,11.5,Medium,Scottish,7.3
From Russia With Love,Sean Connery,11,2,16,High,Scottish,7.4
Goldfinger,Sean Connery,9,4,12,Medium,Scottish,7.7
Thunderball,Sean Connery,20,5,14.5,Medium,Scottish,7
You Only Live Twice,Sean Connery,21,4,9.5,Medium,Scottish,6.9
On Her Majesty's Secret Service,George Lazenby,7,2,9.5,Medium,Australian,6.7
Diamonds Are Forever,Sean Connery,7,3,6,Low,Scottish,6.6
Live and Let Die,Roger Moore,8,3,15.5,High,English,6.8
The Man with the Golden Gun,Roger Moore,1,3,11.5,Medium,English,6.8
The Spy Who Loved Me,Roger Moore,31,5,7,Low,English,7.1
Moonraker,Roger Moore,12,4,7,Low,English,6.3
For Your Eyes Only,Roger Moore,18,2,10.5,Medium,English,6.8
Octopussy,Roger Moore,15,2,14.5,Medium,English,6.6
A View to a Kill,Roger Moore,5,4,14.5,Medium,English,6.4
The Living Daylights,Timothy Dalton,11,1,5.5,Low,English,6.7
Licence to Kill,Timothy Dalton,10,3,4,Low,English,6.6
GoldenEye,Pierce Brosnan,47,3,8,Low,Irish,7.2
Tomorrow Never Dies,Pierce Brosnan,30,2,22,High,Irish,6.5
The World is Not Enough,Pierce Brosnan,27,3,12.5,Medium,Irish,6.4
Die Another Day,Pierce Brosnan,31,3,5.5,Low,Irish,6.1
Casino Royale,Daniel Craig,11,1,26,High,English,8
Quantum of Solace,Daniel Craig,16,1,18,High,English,6.6
Skyfall,Daniel Craig,17,2,16,High,English,7.7
Spectre,Daniel Craig,41,2,5.6,Low,English,6.8